coffee_id,Name,Roaster,Farmer,Region,Country,Elevation,Process,Roast,Varietals,Roaster Notes
243,Ethiopa Kirite,Kickapoo,,Kirite | Guji Zone,Ethiopia,2050,Wet Fermentation | Washed | Overnight Soak,,Kudume | Wolisho | Dega,"Honey, lime, florals"
244,Fondo Paez Cooperative,Kickapoo,Fondo Paez Cooperative,oriererie,Colombia,1750,Washed,,Typica | Bourbon | Colombia,"Chocolate, Tart Cherry, & Brown Sugar"
245,Kenya Mbeguka,Kickapoo,,Embu Country | Kibugu Village,Kenya,1650,Dry Ferment | Washed | Raised Bed Drying,,SL28 | Ruiru 11,"Cranberry, Tangerine, Red Fruit"
246,Misty Valley,Kuma,,Gedeo Zone,Ethiopia,1950,Natural,,Heirloom,"Blueberries, Blackberries, Cotton Candy, Sweet Tea"
247,Shakiso,Kuma,,Guji,Ethiopia,1750,Natural,,Heirloom,"Strawberry Pop Tart, Lemon Meringue, White Chocolate"
248,Bear Claus,Kuma,,,Blend,,,,,
249,Bella Carmona,Kuma,,,Guatemala,,Washed,,"Bourbon, Caturra, Typica","Brownie, Pink Lady Apple, Dulce de Leche"
250,Colombia Excelso,Kuma,"AGRPROCEM, a 52 farmer coop",Tolima,Colombia,1800,Washed | Swiss Water,,"Caturra, Castillo, Colombia","Praline, Milk Chocolate, Pomelo"
251,Elvis Enamorado,Kuma,,,Honduras,,Washed,,Pacas,"Black cherry, pineapple, cane sugar"
252,Nansebo,Kuma,,,Ethiopia,,Washed,,Heirloom,"Red currant, Raspberry, Dark Chocolate"
253,Nyeri Hill,Kuma,,,Kenya,,Washed,,"SL 28, SL 34, Ruiru 11 AA","Passion Fruit, Cherry, Black Currant, Pinot Noir"
254,Guji,Kuma,,Gujio,Ethiopia,2050,Washed,,Heirloom,"Raspberry, Black Tea, Cane Sugar, Mango"
255,Bedhatu Jibicho,Kuma,Bedhatu Jibicho,Gedeb,Ethiopia,1850,Natural,,Heirloom,"Strawberry Jam, Peach Gummies, Chocolate Nibs"
256,Sun Bear,Kuma,Various,East Africa | Central America,Blend - Central America | Africa,,Washed,Medium - Light,Mixed,"Cocoa, Grape, Berries"
257,Nyamyumba,Kuma,,Rubayu,Rwanda,1750,Washed,,Bourbon,"Heath Bar, Raspberry, Mandarin Orange"
